Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,All Goals,xG,Shooting%,Assists,xG Assisted,Key Passes,Dribbles,Successful Dribbles,Dribble%,Dispossessed,Turnovers,Clearances,Aggressive Actions,Defensive Regains,Ball Recoveries,Tack&Int,Aerial Win%,Errors,Pressures,Counterpressures,Counterpress Regains,Passing%,Deep Progressions,Carry%,OP F3 Passes,Touches In Box,Successful Box Cross%,Crossing%
Mohammad Dabre,Salisbury,658,Right Centre Midfielder,Centre Attacking Midfielder,Italy,23,0,0.15,30,0.14,0.07,0.55,1.23,0.55,44,1.64,3.42,0.68,12.71,10.66,12.71,3.96,21,0,27.89,8.89,3.14,80,3.28,89,9.57,2.73,25,40
Mohammed Sagaf,Eastbourne Borough,1097,Left Defensive Midfielder,Right Defensive Midfielder,Tanzania,28,0.08,0.06,23,0,0.06,0.9,0.98,0.57,58,1.15,1.31,1.64,5.17,4.35,12.63,2.62,43,0.08,10.42,3.04,1.31,75,3.36,93,8.29,1.23,17,25
Montel Agyemang,Horsham FC,478,Right Defensive Midfielder,Centre Defensive Midfielder,England,29,0,0.03,0,0,0,0,0,0,,0.75,1.13,2.83,6.78,6.6,10.18,2.83,45,0,11.87,3.02,0.57,67,1.32,91,3.2,0.94,,
Munashe Sundire,Torquay United,398,Left Defensive Midfielder,Right Defensive Midfielder,Zimbabwe,29,0,0.01,0,0,0.03,0.68,1.13,0.68,60,0.68,2.26,2.49,7.01,3.62,18.1,3.62,59,0,10.63,3.39,0.45,63,7.01,93,10.63,0,33,20
Mustapha Olagunju,Ebbsfleet United,2398,Centre Back,Right Centre Back,England,24,0.04,0.03,13,0,0.03,0.26,0.56,0.49,87,0.49,0.68,4.17,5.74,5.63,15.2,2.96,68,0.04,8.97,1.28,0.53,82,2.85,97,4.02,1.2,0,0
Myles Weston,AFC Hornchurch,1251,Right Wing,Right Wing Back,Antigua and Barbuda,38,0.07,0.1,35,0.14,0.2,1.44,2.01,1.08,54,1.87,2.23,1.15,4.32,3.09,9.92,1.37,50,0,9.57,3.09,0.58,64,2.8,90,11.79,3.52,58,29
Nathan Cooper,AFC Hornchurch,1222,Right Centre Back,Centre Back,England,32,0.07,0.1,27,0.07,0.03,0.15,0.07,0.07,100,0.07,0.29,6.63,5.01,5.89,16.06,2.28,76,0.07,8.69,2.36,0.74,68,0.74,99,1.62,2.28,,0
Nathan Harness,Maidstone United,2511,Goalkeeper,,England,26,0,0,,0.04,0.01,0.14,0,0,,0,0,0,0.07,4.34,3.51,0,50,0.04,0.11,0.07,0,38,3.55,100,1.54,0,0,
Nathan Minhas,Chesham United FC,1089,Centre Forward,Right Centre Forward,England,28,0.25,0.19,29,0,0.05,0.66,1.16,0.25,21,1.65,3.06,0.58,4.63,2.97,4.46,0.33,33,0,13.22,4.13,0.91,69,0.99,84,5.12,5.12,0,0
Nathan Odokonyero,Worthing FC,696,Right Centre Forward,Centre Forward,Uganda,23,0.26,0.4,50,0.13,0.15,0.78,1.94,1.16,60,3.23,4.01,0.65,9.82,6.85,3.75,1.03,11,0,25.2,7.37,2.46,80,0.9,77,6.72,6.2,25,50
Nathan Paul-Lavely,Hampton & Richmond,1258,Right Wing Back,Left Wing Back,England,20,0.07,0.05,36,0.07,0.02,0.29,2.07,1.43,69,2.15,2.58,2,9.16,5.79,10.01,3.43,43,0,17.6,3.72,0.72,53,3.58,82,5.22,1.22,29,25
Naz Bakrin,Tonbridge Angels FC,1950,Right Centre Back,Right Defensive Midfielder,England,23,0.05,0.08,33,0,0.01,0.23,0.42,0.28,67,0.6,0.55,4.85,7.89,7.62,10.9,4.15,62,0,12.83,3.14,1.06,78,2.12,98,2.91,1.48,33,33
Nick Wheeler,Worthing FC,801,Left Wing Back,Left Midfielder,England,35,0.11,0.12,11,0.11,0.15,1.12,1.12,0.45,40,1.91,1.46,1.12,5.95,5.17,8.65,1.46,50,0,9.99,1.68,0.67,72,4.15,93,12.35,2.81,69,38
Nino Adom-Malaki,Enfield Town FC,2451,Left Wing Back,Left Back,England,22,0,0.04,16,0.07,0.16,1.4,2.42,1.58,65,1.73,2.06,2.83,4.88,4.37,11.09,2.68,49,0.07,9.99,1.87,0.29,55,4.7,89,6.13,1.03,37,33
Noah Coppin,Salisbury,2063,Right Centre Forward,Centre Forward,England,24,0.31,0.26,35,0.04,0.09,1.05,0.96,0.57,59,1.31,2.88,0.83,7.81,6.06,4.75,1.13,30,0,18.89,6.54,2.53,55,1.96,83,5.67,4.41,29,31
Noah McCann,Tonbridge Angels FC,799,Left Back,Left Centre Back,Scotland,20,0.11,0.02,100,0,0.02,0.34,0,0,,0.34,0.34,6.65,5.41,5.63,18.02,3.27,64,0.23,9.57,2.14,1.01,52,3.83,98,3.38,0.45,0,0
O.Babajide,Tonbridge Angels FC,1747,Right Wing,Left Wing,England,22,0.31,0.2,42,0.15,0.14,1.03,2.16,1.03,48,3.71,4.38,0.77,8.81,6.18,7.52,2.58,35,0,19.42,5.87,1.8,64,2.21,79,6.28,4.64,27,47
O.Dore,Salisbury,355,Left Centre Back,Left Wing Back,England,21,0,0.02,0,0,0.04,0.76,0.25,0,0,0.25,0.25,5.58,5.08,4.82,8.37,1.27,45,0,8.88,2.54,0.51,80,4.31,98,6.6,0.76,17,100
O.Knight,Enfield Town FC,692,Left Centre Midfielder,Left Midfielder,England,29,0,0.07,20,0,0.16,1.17,0.39,0.13,33,0.65,1.69,0.91,5.73,5.07,10.54,1.43,31,0,13.53,5.6,1.95,57,3.51,94,8.2,2.86,70,41
Odei Martin,Worthing FC,1288,Right Defensive Midfielder,Left Defensive Midfielder,Spain,29,0,0.02,33,0,0.02,0.49,0.7,0.56,80,1.19,0.63,2.31,8.8,7.75,14.53,3.14,55,0.07,14.67,5.24,2.17,87,6.99,98,11.53,0.7,10,33
Ola Ogunwamide,Horsham FC,532,Right Wing,Right Midfielder,England,26,0,0.08,40,0,0.05,0.85,2.54,1.18,47,1.86,4.06,1.01,8.11,4.23,6.76,0.51,38,0,14.37,3.55,0.51,60,2.03,78,6.76,2.7,,13
Olaf Koszela,Chippenham Town,1015,Right Centre Forward,Centre Forward,England,24,0.27,0.22,35,0,0.08,1.06,0.62,0.18,29,2.22,2.66,0.44,5.14,4.25,6.38,0.62,32,0,15.33,4.88,1.06,75,1.06,88,8.78,5.23,33,30
Oli Davis,Hemel Hempstead Town,458,Left Wing,Left Midfielder,England,20,0,0.25,43,0,0.04,0.39,1.38,0.59,43,3.93,2.36,0.98,7.86,6.09,8.06,2.16,8,0,17.69,5.11,0.98,61,3.54,81,8.06,6.29,40,25
Oli Davis,Enfield Town FC,560,Left Centre Forward,Right Centre Forward,England,20,0.48,0.39,40,0,0.02,0.8,2.57,1.29,50,2.89,4.18,0.48,7.07,5.14,6.43,1.29,11,0,17.04,5.14,2.09,76,2.89,80,6.75,4.82,100,20
Oliver Bray,Salisbury,604,Left Centre Forward,Centre Forward,England,22,0,0.4,52,0.15,0.33,1.19,1.19,0.75,63,2.68,2.24,0.6,3.73,3.88,5.81,0.75,47,0,12.37,3.13,1.49,53,2.68,85,7.3,5.96,13,23
Oliver Hobden,Farnborough,666,Right Back,Right Wing Back,England,21,0,0.04,25,0,0.02,0.41,0.81,0.27,33,0.41,1.76,2.84,6.76,5.95,8.65,3.92,67,0.14,14.2,3.79,1.08,55,3.52,91,4.6,1.08,100,17
Oliver Robinson,Farnborough,2187,Centre Back,Left Centre Back,England,31,0.12,0.04,63,0.04,0.05,0.37,0,0,,0.37,0.25,7.78,7.28,7.04,13.95,3.21,70,0.04,11.03,2.67,1.11,55,2.51,97,1.85,1.4,56,22
Ollie Godziemski,Worthing FC,561,Left Centre Forward,Left Midfielder,England,20,0.16,0.13,25,0.16,0.05,0.48,1.12,0.16,14,2.89,3.85,0.16,5.61,4.17,5.13,0.8,32,0,10.74,3.21,1.44,70,1.92,80,9.14,4.81,0,27
Ollie Morgan,Salisbury,1910,Right Back,Left Back,England,19,0,0.04,50,0.09,0.11,0.71,1.56,0.9,58,0.8,0.99,3.11,7.16,6.41,12.11,2.87,49,0.09,14.99,4.52,1.65,69,3.77,96,7.07,1.51,53,32
Ollie Tomlinson,Bath City,1807,Right Centre Back,Right Back,England,24,0,0.02,50,0.05,0.05,0.15,0.2,0.2,100,0.2,0.15,7.92,5.18,5.73,11.95,2.94,66,0,9.26,1.79,0.75,58,1.64,99,1.74,1.2,0,0
Oluwalopemiwa Aderoju,Eastbourne Borough,2221,Centre Forward,Left Centre Forward,England,22,0.53,0.42,48,0,0.06,0.69,0.73,0.45,61,2.47,2.92,1.3,5.92,4.05,4.7,0.57,51,0,14.67,3.57,0.85,52,1.58,77,4.78,5.39,0,0
Omar Rowe,Chesham United FC,304,Right Attacking Midfielder,Centre Forward,England,31,0,0.07,0,0.3,0.34,0.89,0.59,0.3,50,2.37,2.67,0.89,12.15,5.04,8.29,3.55,47,0,20.14,6.81,0.89,54,1.78,80,4.74,3.26,0,33
Owen Cochrane,Maidenhead United,1483,Right Wing Back,Right Back,England,21,0,0.03,80,0.06,0.05,0.55,0.85,0.42,50,0.91,1.21,2.37,6.68,4.37,10.68,2.85,45,0,10.08,2.43,0.67,63,6.25,96,9.59,0.3,54,33
Owen Windsor,Bath City,720,Left Centre Forward,Right Centre Forward,England,24,0.63,0.4,57,0,0.02,0.5,0.88,0.38,43,1.75,2.38,0.5,8.25,5.63,5.13,0.63,33,0,19.63,4.88,1.75,66,1,83,7.13,4,50,33
P.Ojemen,Slough Town FC,1095,Left Centre Back,Left Back,England,24,0.16,0.11,50,0,0.01,0.08,0.41,0.16,40,0.49,0.58,4.44,6.58,5.92,14.14,4.28,50,0,11.43,2.55,0.99,63,3.54,94,4.28,1.64,0,0
Patrick Casey,Dorking Wanderers FC,539,Right Centre Forward,Centre Forward,Republic of Ireland,20,1.17,0.59,48,0.17,0.06,0.5,1,0.83,83,2.17,3.34,0.67,10.01,8.34,5.84,0.5,38,0,26.2,7.01,2.67,70,2,89,7.51,6.68,0,0
Paul Appiah,Chelmsford City,409,Right Back,Right Centre Back,England,23,0,0,,0,0,0,1.76,0.66,38,0.44,1.76,5.28,10.35,7.26,11.89,3.96,56,0,16.29,4.18,1.1,68,2.86,91,2.42,0,0,
Paul Field,Hampton & Richmond,1311,Right Wing Back,Right Back,England,25,0.07,0.07,40,0.07,0.04,0.34,0.41,0.27,67,0.76,0.62,1.65,6.8,5.42,7.48,2.95,30,0,12.29,2.27,0.82,64,2.27,95,4.33,0.89,36,22
Rakish Bingham,Farnborough,1828,Centre Forward,Right Wing,England,32,0.39,0.19,44,0.1,0.07,0.79,1.28,0.74,58,1.13,2.07,0.59,4.68,3.15,6.15,0.64,27,0,11.42,3.4,0.98,70,1.58,88,6.5,3.94,11,29
Ralph Vigrass,AFC Totton,981,Right Wing,Left Wing,England,20,0.28,0.1,47,0,0.06,0.64,2.2,1.19,54,2.66,3.03,0.92,7.16,6.24,5.78,2.29,57,0,17.06,4.86,1.56,63,1.65,87,8.71,3.49,25,30
Rashawn Scott,Dagenham & Redbridge,519,Left Wing,Left Wing Back,England,22,0,0.07,20,0.17,0.2,1.74,2.08,1.21,58,2.6,3.47,0.35,11.45,4.51,8.33,2.43,10,0,22.39,4.69,1.21,64,4.86,82,8.33,2.95,50,29
Razzaq Coleman De-Graft,Worthing FC,2291,Right Wing,Right Wing Back,England,28,0.35,0.26,37,0.24,0.21,1.22,3.03,1.96,65,3.46,4.13,0.9,4.91,4.56,7.74,2,33,0.04,10.57,3.22,1.3,77,3.06,88,11.83,6.6,11,32
Reece Christopher Myles-Meekums,Horsham FC,2442,Left Wing,Left Midfielder,England,27,0.22,0.21,43,0.04,0.09,0.81,2.69,1.14,42,2.03,3.98,1.11,4.72,3.8,6.56,1.22,25,0,11.46,2.91,1.03,66,3.65,85,8.33,2.8,39,25
Reece Fleet,Chippenham Town,2398,Right Defensive Midfielder,Left Defensive Midfielder,England,34,0,0.02,21,0.04,0.04,0.49,0.26,0.19,71,0.71,0.68,1.61,7.17,7.02,14.22,3.45,49,0,13.62,4.35,1.43,84,5.89,98,9.42,0.68,13,50
Reece Grego-Cox,Hampton & Richmond,720,Right Centre Forward,Centre Forward,Republic of Ireland,29,0.62,0.25,50,0.12,0.09,1,1.87,1,53,1.25,3.62,0.5,6.5,3.87,5.37,0.62,39,0,15.99,3.62,1.25,58,2.87,86,7.5,5.62,33,40
Reggie Young,Dagenham & Redbridge,1040,Left Wing Back,Left Back,England,27,0,0.09,33,0.26,0.09,0.95,1.3,0.78,60,0.78,2.25,0.95,9,5.8,10.99,3.03,48,0,16.1,2.6,0.78,63,4.5,91,7.7,1.21,33,30
Reiss Greenidge,Slough Town FC,1309,Left Centre Back,Centre Back,Guyana,30,0,0.03,43,0,0.05,0.55,0.48,0.41,86,0.34,0.21,7.01,7.56,8.8,12.24,3.23,69,0.07,10.86,1.86,0.89,70,1.86,98,3.09,2.13,0,100
Remy Clerima,Maidenhead United,2123,Left Centre Back,Right Centre Back,France,36,0.04,0.05,18,0.04,0.06,0.42,0.42,0.21,50,1.36,0.98,6.19,7.63,7.67,19.76,4.37,65,0.04,13.14,3.86,1.4,69,4.41,94,6.83,1.95,14,19
Renny Smith,Farnborough,909,Left Defensive Midfielder,Right Defensive Midfielder,Austria,29,0,0.07,0,0,0.02,0.49,0.49,0.3,60,0.99,0.59,3.27,10.79,7.13,15.34,3.86,49,0,17.72,5.54,1.78,64,3.56,95,6.33,0.99,25,20
Rhys Forster,Enfield Town FC,1603,Goalkeeper,,England,27,0,0,,0,0.01,0.22,0.22,0.22,100,0,0.06,0.06,0.11,6.74,5.56,0,0,0,0.17,0.06,0,34,3.93,100,2.08,0,0,
Rhys Murphy,Horsham FC,1055,Centre Forward,Left Centre Forward,Republic of Ireland,35,0.34,0.39,36,0.09,0.15,1.02,1.19,0.77,64,1.79,3.16,0.68,4.86,3.92,3.67,0.77,33,0,12.46,3.33,0.85,79,1.54,86,7.51,5.8,25,67
Ricky Aguair,Horsham FC,908,Left Defensive Midfielder,Centre Attacking Midfielder,England,25,0.2,0.11,47,0,0.05,0.79,0.79,0.4,50,1.49,1.78,0.99,8.03,4.76,8.23,1.09,42,0.1,14.48,3.17,0.89,73,3.37,93,6.84,1.98,17,13
Ricky Holmes,Chelmsford City,1478,Right Defensive Midfielder,Left Defensive Midfielder,England,38,0,0.06,17,0.06,0.12,1.58,0.97,0.73,75,1.22,1.34,1.95,7.25,4.87,10.96,2.44,53,0,13.15,3.65,0.85,58,4.75,94,8.16,1.34,14,29
Ricky Korboa,Tonbridge Angels FC,1171,Left Wing,Left Wing Back,England,29,0.23,0.18,24,0.31,0.14,0.85,1.92,1.08,56,1.61,2.61,1.77,6.99,4.69,12.45,2.38,34,0,14.98,3.07,0.54,67,3.53,90,8.53,2.3,8,33
Riley Court,Maidstone United,1445,Right Defensive Midfielder,Centre Attacking Midfielder,England,20,0.12,0.11,50,0.06,0.1,1.31,0.75,0.31,42,2.74,1.99,1.12,10.59,8.53,14.7,3.74,36,0,20.93,7.22,2.62,62,4.11,89,9.28,2.12,7,16
Rolando Onu,Dover Athletic,404,Centre Forward,Right Centre Forward,England,24,0.22,0.12,50,0,0.1,1.11,0.89,0.67,75,2,2.89,0.22,3.12,4.68,5.12,0.22,25,0,16.48,6.01,1.56,52,1.56,76,5.12,3.12,0,50
Roman Charles-Cook,Dover Athletic,2572,Right Back,Left Back,England,22,0,0.01,25,0.07,0.04,0.63,0.91,0.52,58,1.47,1.26,3.32,7.28,7,11.9,3.18,57,0,16.03,3.71,0.94,55,3.5,89,4.9,0.56,22,22
Ronan Silva,Hampton & Richmond,1569,Centre Forward,Right Centre Forward,England,26,0.17,0.14,32,0,0.03,0.63,2.01,1.43,71,2.87,2.81,0.46,11.42,8.32,7.4,1.95,26,0,23.98,7.23,2.52,65,2.7,85,6.94,3.16,18,13
Ronny Nelson,Ebbsfleet United,1446,Left Centre Back,,England,22,0.12,0.07,25,0,0.01,0.06,0.44,0.19,43,0,0.31,4.23,4.11,5.35,11.08,3.05,61,0,7.22,1.93,0.93,76,4.85,99,7.34,2.24,29,60
Ruaridh Donaldson,Enfield Town FC,1067,Left Centre Back,Centre Attacking Midfielder,Scotland,32,0,0.07,29,0,0.03,0.34,0.08,0.08,100,0.42,0.59,5.65,5.9,5.31,14,3.12,67,0,9.02,2.19,0.67,62,3.12,97,4.89,1.26,33,43
Ruben Okemute Shakpoke,Slough Town FC,800,Left Centre Forward,Centre Forward,England,22,0.56,0.24,57,0,0.06,0.9,1.01,0.68,67,1.69,5.06,1.13,4.05,2.59,3.49,0.56,45,0,10.8,2.93,0.68,56,1.35,70,6.19,4.39,0,0
Ruben Soares Junior,Dover Athletic,1176,Centre Forward,Left Wing,Portugal,26,0.54,0.25,47,0.08,0.08,0.69,1.15,0.69,60,1.61,3.37,1.76,4.44,3.44,4.28,0.77,55,0,12.39,3.21,0.69,56,0.99,82,7.5,5.58,25,6
Ryan Bartley,Maidenhead United,1583,Right Back,Left Wing Back,England,22,0,0.02,38,0,0.02,0.34,0.91,0.45,50,1.14,0.8,3.01,5.74,5.46,14.73,2.9,58,0,10.12,2.56,1.19,70,6.26,96,9.5,0.85,31,19
Ryan Gosney,AFC Totton,1203,Goalkeeper,,England,34,0,0,,0,0.01,0.15,0,0,,0,0.15,0.07,0,5.83,3.89,0,,0.07,0,0,0,63,3.52,99,1.5,0,0,
Ryan Hanson,Dover Athletic,1120,Right Defensive Midfielder,Right Centre Midfielder,England,25,0.16,0.04,60,0.08,0.02,0.56,0.24,0.08,33,0.32,0.8,2.01,7.07,5.86,12.21,2.09,69,0,13.82,3.86,0.96,62,2.97,97,6.59,1.2,0,0
Ryan Huke,Farnborough,942,Centre Attacking Midfielder,Left Centre Midfielder,England,21,0.19,0.23,27,0.19,0.22,1.05,1.53,0.67,44,2.48,2.87,0.57,6.97,6.02,10.7,1.81,21,0,16.53,5.35,1.91,65,3.25,89,7.74,3.15,43,31
Ryan Jackson,AFC Totton,1282,Right Back,Right Wing Back,England,35,0,0.02,40,0.07,0.07,0.98,1.19,0.63,53,0.98,1.4,1.4,5.19,4.91,8.84,2.11,50,0,10.88,2.74,0.63,68,3.44,95,9.19,1.26,40,28
Ryan Sandford,Eastbourne Borough,1602,Goalkeeper,,England,27,0,0,,0,0,0,0,0,,0.06,0.06,0.06,0.11,4.49,4.32,0,,0,0.06,0,0,56,1.4,99,0.84,0.11,,
S.Adenola,Hemel Hempstead Town,2291,Right Back,Left Back,England,23,0.08,0.06,20,0.08,0.11,0.75,0.98,0.67,68,0.51,0.86,4.79,3.97,4.16,16.93,2.63,56,0.04,9.19,2.71,0.86,64,5.22,96,8.68,1.53,42,27
S.Youngs,Enfield Town FC,2146,Centre Attacking Midfielder,Right Centre Forward,England,35,0.21,0.26,39,0.04,0.05,0.34,0.55,0.38,69,1.59,2.89,1.13,7.59,4.91,7.46,1.93,49,0,16.86,4.65,1.3,59,2.14,82,6.46,6.08,20,43
Sam Avery,Weston-super-Mare AFC,1495,Left Centre Back,Right Centre Back,England,37,0.06,0.06,50,0,0,0.06,0.24,0.24,100,0.18,0.18,6.98,4.52,5,12.34,2.59,65,0.06,7.77,1.26,0.66,73,1.63,99,2.05,0.54,,0
Sam Barratt,Maidenhead United,576,Left Midfielder,Left Centre Forward,England,30,0.47,0.3,26,0.16,0.2,1.25,1.09,0.47,43,1.56,2.5,1.72,8.59,7.96,7.96,2.97,43,0,19.36,5.78,1.41,50,3.75,94,8.9,3.59,16,14
Sam Beard,Worthing FC,1054,Left Centre Back,Left Back,England,28,0.09,0.12,36,0.17,0.16,0.68,0.85,0.43,50,1.02,1.11,2.99,7.52,6.75,11.02,4.01,53,0,11.19,3.76,1.37,83,5.47,97,11.1,1.96,18,25
Sam Corne,Maidstone United,1955,Right Defensive Midfielder,Left Defensive Midfielder,England,29,0.09,0.05,38,0,0.05,0.6,0.28,0.09,33,0.69,0.55,1.75,7.09,5.89,15.19,3.68,53,0.05,13.03,4.14,1.84,70,5.25,97,10.5,1.06,17,38
Sam Deadfield,Hampton & Richmond,1675,Left Defensive Midfielder,Centre Attacking Midfielder,England,29,0,0.06,22,0.05,0.09,1.02,0.48,0.32,67,1.07,1.07,1.67,7.85,6.34,14.62,3.01,50,0,16.39,5.27,1.72,67,3.33,96,7.9,1.67,13,25
Sam Dreyer,Torquay United,2814,Left Centre Back,Centre Back,England,21,0.06,0.05,27,0.06,0.11,0.45,0.13,0.06,50,0.19,0.13,8.25,4.19,5.95,15.61,1.73,75,0.06,8.06,1.79,0.54,77,2.56,99,3.55,1.31,0,0
Sam Folarin,Chelmsford City,687,Right Wing,Left Wing Back,England,19,0.26,0.11,63,0.13,0.18,2.1,0.79,0.52,67,2.1,2.36,0.65,9.3,6.94,7.6,2.75,48,0,17.03,5.5,1.7,66,3.54,87,8.12,2.23,57,42
Sam Graham,Dagenham & Redbridge,2449,Right Centre Back,Centre Back,England,25,0,0.05,29,0.07,0.02,0.29,0,0,,0.11,0.11,6.36,5.15,5.33,14.88,2.09,71,0.04,8.12,2.13,0.66,65,2.28,99,2.68,1.51,50,36
Sam Howes,Dagenham & Redbridge,1981,Goalkeeper,,England,28,0,0,,0,0,0,0,0,,0,0.05,0,0.05,4.68,3.77,0,,0.05,0,0,0,67,1.86,100,1.14,0,,
Sam Packham,Worthing FC,2489,Left Defensive Midfielder,Centre Defensive Midfielder,England,24,0.04,0.01,33,0.29,0.14,1.55,0.36,0.25,70,1.08,0.94,1.05,7.27,5.93,13.2,2.39,51,0.04,12.4,4.16,1.63,80,5.42,97,11.57,0.61,28,41
Samson Esan,Chesham United FC,1324,Right Attacking Midfielder,Left Attacking Midfielder,England,27,0,0.06,29,0.2,0.09,1.16,2.58,1.56,61,3.13,3.2,1.02,7.07,6.93,9.52,2.99,44,0,16.45,5.03,1.84,73,3.74,87,11.15,2.31,9,38
Samuel Kuffour,AFC Hornchurch,540,Right Centre Back,Left Back,England,22,0,0.01,0,0.17,0.09,0.67,0.5,0.33,67,0.5,0.5,4.67,5.5,4.17,11.17,3.34,60,0,8.84,1.67,0.5,67,2.84,100,4.67,0.67,29,17
Samuel Oguntayo,Maidstone United,328,Left Back,Left Wing,Republic of Ireland,23,0,0.02,0,0.27,0.04,0.55,0.27,0,0,1.1,1.37,1.92,6.04,7.13,13.44,6.31,38,0,13.72,3.02,0.82,67,6.58,95,13.44,0.55,17,11
Samuel Pearson,Weston-super-Mare AFC,765,Left Midfielder,Right Wing,Wales,24,0.59,0.28,44,0.12,0.08,0.82,1.41,0.94,67,3.18,3.18,0.24,5.3,4.47,5.88,1.41,18,0,15.18,4.82,1.41,72,3.18,83,9.06,6.47,0,33
Saul Kader,Hampton & Richmond,780,Left Centre Forward,Left Wing,England,22,0,0.17,33,0.12,0.08,0.92,0.81,0.23,29,0.92,2.08,0.12,8.66,5.66,6,1.27,16,0,21.93,6,2.19,64,0.81,84,5.54,3.23,33,38
Scott Davies,Slough Town FC,1010,Centre Back,Right Centre Back,England,39,0,0.02,0,0,0.05,0.45,0.53,0.53,100,0,0.45,4.63,3.12,4.01,13.27,2.14,70,0,4.45,0.71,0.36,62,4.72,98,4.28,0.27,0,33
Scott Myles Davies,Slough Town FC,993,Centre Back,Right Centre Back,Republic of Ireland,38,0.09,0.03,10,0,0,0.09,0.63,0.63,100,0.36,0.27,3.72,4.71,5.08,14.78,2.18,70,0.09,4.99,1,0.45,70,5.8,98,4.26,0.27,0,0
Scott Rendell,AFC Totton,1617,Centre Attacking Midfielder,Centre Forward,England,39,0.22,0.13,30,0,0.06,0.67,0.22,0.11,50,0.56,1,1.56,4.84,3.23,7.57,1.11,43,0.06,10.29,3.84,0.89,67,2.28,94,6.96,3.78,10,20
Scott Wagstaff,Tonbridge Angels FC,1203,Left Defensive Midfielder,Right Defensive Midfielder,England,36,0.07,0.08,22,0.15,0.11,0.67,0.6,0.3,50,0.67,0.45,2.47,8.98,5.76,11.74,2.47,61,0,13.76,4.11,1.42,70,2.47,98,7.03,1.2,50,36
Scott Wilson,Weston-super-Mare AFC,470,Left Centre Forward,Right Wing,England,33,0.19,0.32,40,0.19,0.29,0.57,0.96,0.19,20,0.96,3.06,1.34,4.59,5.17,6.5,1.53,6,0,13.2,3.83,1.34,59,1.34,86,4.97,3.25,67,50
Scott Wilson,Bath City,649,Centre Forward,Left Centre Forward,England,33,0.14,0.16,56,0,0,0,0.83,0.55,67,2.22,2.91,0.55,8.87,4.44,3.6,0.83,18,0,21.35,4.57,0.97,51,0.55,78,3.74,3.74,0,0
Sean Shields,Tonbridge Angels FC,303,Right Centre Midfielder,Centre Forward,Northern Ireland,34,0.89,0.08,50,0,0.06,0.59,0.89,0.59,67,2.08,1.78,0,7.73,6.54,5.65,1.49,0,0,18.44,9.22,3.87,70,4.76,93,8.33,4.16,20,14
Seb Stacey,Worthing FC,995,Goalkeeper,,England,20,0,0,,0,0.02,0.09,0,0,,0,0,0,0.09,5.97,4.52,0,,0.18,0.18,0,0,77,0.54,100,0.45,0.09,,
Shamir Fenelon,Horsham FC,1185,Centre Forward,Right Wing,Republic of Ireland,31,0.23,0.29,48,0.15,0.09,0.68,0.61,0.3,50,1.67,2.43,1.37,5.77,4.02,5.62,1.82,23,0,13.59,3.11,0.76,69,1.52,86,6.38,4.1,0,40
Shiloh Remy,Worthing FC,364,Left Wing,Left Midfielder,England,25,0,0.42,29,0,0.13,0.99,2.22,0.99,44,1.73,3.46,0,3.95,5.68,5.68,1.48,0,0,12.35,5.93,2.47,78,3.21,94,14.57,3.46,14,13
Shiloh Remy,Chelmsford City,747,Right Midfielder,Right Wing,England,25,0.24,0.26,33,0,0.04,0.6,1.93,1.08,56,2.29,2.17,0.96,6.75,6.14,7.11,0.84,0,0,17.11,5.06,1.81,69,3.49,92,10.12,3.13,33,21
Siju Odelusi,Dover Athletic,567,Right Defensive Midfielder,Left Centre Midfielder,England,27,0,0.07,14,0,0.07,1.11,0.95,0.48,50,0.95,1.91,1.91,7.62,4.92,11.59,2.54,40,0,15.56,5.24,1.11,69,3.02,89,6.19,3.02,0,0
Solomon Wanjau Smith,Chippenham Town,1384,Centre Forward,Left Centre Forward,England,27,0.07,0.13,48,0.13,0.11,1.17,1.63,0.91,56,1.82,2.6,0.98,5.07,5.79,5.2,1.37,28,0,14.25,4.55,1.5,65,2.73,87,6.05,3.97,29,41
Sonnie Davis,Chelmsford City,398,Right Wing Back,Right Back,England,21,0,0.12,50,0,0.07,0.9,0.9,0.68,75,1.13,1.13,2.94,9.28,7.01,12.89,4.3,57,0,16.29,3.39,1.36,71,5.2,95,6.79,0.68,29,29
Sonny Blu-Lo Everton,Torquay United,1919,Left Defensive Midfielder,Right Defensive Midfielder,Scotland,23,0.05,0.07,37,0.09,0.16,1.64,0.7,0.42,60,1.08,0.84,1.88,4.36,5.25,11.21,1.74,33,0,9.52,2.91,1.08,80,3.56,97,12.24,2.39,10,21
Sonny Fish,Torquay United,331,Centre Forward,Centre Attacking Midfielder,England,22,0,0.07,50,0,0.06,1.36,1.9,0.82,43,4.89,3.8,0.54,5.71,6.52,3.53,2.17,14,0,13.59,3.26,1.63,79,1.9,71,10.33,5.98,0,50
Stanley Leech,Dagenham & Redbridge,535,Centre Forward,Left Centre Forward,,,0.5,0.35,32,0.17,0.07,1.01,0.17,0.17,100,1.18,2.02,1.01,2.35,2.02,3.53,0.17,43,0,9.41,2.19,0.84,50,1.34,86,5.72,8.91,0,50
Steve Brown,Chesham United FC,315,Right Centre Back,Centre Back,England,37,0,0,,0,0.01,0.29,0.29,0.29,100,0,0,5.14,2.57,7.43,10.29,2,50,0,9.72,2.57,0.86,81,2,100,4.29,2.86,,
