Name,Team,Minutes,Primary Position,Secondary Position,Nationality,Age,All Goals,xG,Shooting%,Assists,xG Assisted,Key Passes,Dribbles,Successful Dribbles,Dribble%,Dispossessed,Turnovers,Clearances,Aggressive Actions,Defensive Regains,Ball Recoveries,Tack&Int,Aerial Win%,Errors,Pressures,Counterpressures,Counterpress Regains,Passing%,Deep Progressions,Carry%,OP F3 Passes,Touches In Box,Successful Box Cross%,Crossing%
Jason Christopher Prior,Dorking Wanderers FC,1905,Right Centre Forward,Left Centre Forward,England,37,0.24,0.22,31,0.19,0.15,0.99,0.38,0.09,25,1.61,2.27,2.08,3.92,3.97,6.19,0.8,58,0,10.25,3.4,0.85,60,2.22,85,9.31,7.28,12,43
Jason Pope,Weston-super-Mare AFC,1303,Left Back,Left Centre Back,England,30,0,0.01,50,0,0.09,0.48,0.41,0.28,67,0.76,0.41,2.9,6.49,5.46,12.5,2.97,75,0,10.29,1.45,0.55,70,4.63,98,6.08,0.41,40,20
Jay Foulston,Torquay United,2757,Left Back,Left Wing Back,Wales,25,0,0.01,22,0.03,0.03,0.39,0.36,0.2,55,0.46,0.59,2.77,5.84,5.32,10.94,2.81,50,0,11.23,2.94,0.88,73,6.07,98,10.48,0.72,32,30
Jayden Bennetts,Chesham United FC,895,Left Defensive Midfielder,Left Centre Midfielder,England,24,0.1,0.18,33,0,0.09,1.21,1.31,0.6,46,1.41,1.81,1.81,7.44,7.34,10.96,3.12,45,0.1,15.39,4.43,2.01,70,4.63,91,9.86,2.72,25,29
Jayden Davis,Eastbourne Borough,638,Left Wing Back,Right Centre Midfielder,England,24,0.28,0.12,33,0,0.06,0.71,1.69,0.85,50,1.84,3.11,1.27,6.49,5.65,9.18,2.82,25,0,12.42,3.67,0.99,63,3.53,88,6.92,3.95,50,24
Jayden Mitchell-Lawson,Maidenhead United,1282,Right Wing Back,Right Wing,England,26,0.14,0.13,35,0.14,0.14,1.12,0.77,0.56,73,1.97,1.75,0.91,4.63,4.35,8.07,2.67,37,0,10.81,3.09,0.77,71,2.88,93,11.58,2.18,32,24
Jephte Tanga,Maidstone United,1979,Left Wing,Left Wing Back,England,21,0.14,0.13,52,0.23,0.19,1.14,0.64,0.55,86,1.91,1.46,0.91,8.5,6.96,8.28,2.41,17,0,19.28,5.05,1.96,65,1.96,89,8.64,3.18,33,27
Jermaine Anderson,Hemel Hempstead Town,301,Left Defensive Midfielder,Right Defensive Midfielder,England,30,0,0,,0,0.02,0.6,0.6,0.3,50,1.2,1.79,2.69,7.47,6.57,9.56,2.39,46,0,13.15,4.78,1.79,72,3.59,88,6.28,0,0,
Jesurun Uchegbulam,Eastbourne Borough,1110,Left Midfielder,Left Wing,Nigeria,25,0,0.07,29,0.08,0.19,1.78,3.16,1.86,59,3.97,2.84,0.57,5.03,4.22,7.95,0.89,36,0,13.3,4.54,1.14,67,2.11,83,8.92,3.32,26,33
Jesurun Uchegbulam,Chelmsford City,844,Left Wing,Right Wing,Nigeria,25,0,0.09,43,0,0.1,1.6,2.88,1.71,59,3.52,4.8,0.85,6.08,4.91,8.21,1.07,36,0,14.4,3.95,1.07,71,2.77,82,10.88,3.63,25,32
Jevani Brown,Hemel Hempstead Town,429,Right Wing,Right Midfielder,Jamaica,31,0,0.09,20,0,0.21,1.26,1.26,1.05,83,1.68,1.89,0.21,9.02,5.87,7.34,1.68,41,0,15.52,4.82,2.1,70,2.52,91,12.58,2.52,38,44
Jimmy Muitt,Dorking Wanderers FC,2012,Right Wing Back,Right Wing,England,30,0.18,0.21,27,0.13,0.15,1.12,1.88,1.12,60,2.24,2.59,1.48,6.75,5.5,10.55,3.13,43,0,13.64,3.62,1.52,61,3.22,90,8.59,3.49,48,28
Joe Cook,Worthing FC,2777,Right Centre Back,Left Centre Back,England,26,0.1,0.1,32,0.06,0.08,0.71,0.78,0.45,58,0.75,1.04,4.6,6.77,6.74,14.42,3.5,78,0.03,9.4,3.08,1.26,80,6.68,97,10.66,2.98,3,64
Joe Grimwood,Chelmsford City,1455,Right Centre Back,Left Centre Back,England,24,0.06,0.08,33,0.12,0.06,0.25,0,0,,0.12,0.19,7.79,3.15,3.65,13.92,1.61,78,0.06,5.94,1.73,0.49,72,2.1,100,2.72,1.86,0,0
Joe Haigh,Dagenham & Redbridge,2320,Left Centre Midfielder,Centre Attacking Midfielder,England,23,0.16,0.22,33,0.19,0.2,1.71,2.56,1.36,53,2.64,3.18,0.5,11.56,6.32,9.31,2.83,38,0,21.49,4.58,1.32,71,5.08,88,9.7,3.26,7,28
